LOCATION,INDICATOR,SUBJECT,MEASURE,TIME,Value
GRC,EMP,TOT,PC_WKGPOP,2012,50.8
GRC,EMP,TOT,PC_WKGPOP,2013,48.8
GRC,EMP,TOT,PC_WKGPOP,2014,49.425
GRC,EMP,TOT,PC_WKGPOP,2015,50.8
GRC,EMP,TOT,PC_WKGPOP,2016,52.025
HUN,EMP,TOT,PC_WKGPOP,2007,57.025
HUN,EMP,TOT,PC_WKGPOP,2008,56.4
HUN,EMP,TOT,PC_WKGPOP,2009,55.05
HUN,EMP,TOT,PC_WKGPOP,2010,54.95
HUN,EMP,TOT,PC_WKGPOP,2011,55.425
HUN,EMP,TOT,PC_WKGPOP,2012,56.675
HUN,EMP,TOT,PC_WKGPOP,2013,58.075
HUN,EMP,TOT,PC_WKGPOP,2014,61.775
HUN,EMP,TOT,PC_WKGPOP,2015,63.95
HUN,EMP,TOT,PC_WKGPOP,2016,66.525
ISL,EMP,TOT,PC_WKGPOP,2007,85.15
ISL,EMP,TOT,PC_WKGPOP,2008,83.575
ISL,EMP,TOT,PC_WKGPOP,2009,78.325
ISL,EMP,TOT,PC_WKGPOP,2010,78.175
ISL,EMP,TOT,PC_WKGPOP,2011,78.475
ISL,EMP,TOT,PC_WKGPOP,2012,79.675
ISL,EMP,TOT,PC_WKGPOP,2013,81.1
ISL,EMP,TOT,PC_WKGPOP,2014,82.95
ISL,EMP,TOT,PC_WKGPOP,2015,84.725
ISL,EMP,TOT,PC_WKGPOP,2016,86.525
IRL,EMP,TOT,PC_WKGPOP,2007,71.725
IRL,EMP,TOT,PC_WKGPOP,2008,69.675
IRL,EMP,TOT,PC_WKGPOP,2009,63.65
IRL,EMP,TOT,PC_WKGPOP,2010,61
IRL,EMP,TOT,PC_WKGPOP,2011,60.05
IRL,EMP,TOT,PC_WKGPOP,2012,59.9
IRL,EMP,TOT,PC_WKGPOP,2013,61.725
IRL,EMP,TOT,PC_WKGPOP,2014,63.1
IRL,EMP,TOT,PC_WKGPOP,2015,64.725
IRL,EMP,TOT,PC_WKGPOP,2016,66.45
ITA,EMP,TOT,PC_WKGPOP,2007,58.575
ITA,EMP,TOT,PC_WKGPOP,2008,58.65
ITA,EMP,TOT,PC_WKGPOP,2009,57.35
ITA,EMP,TOT,PC_WKGPOP,2010,56.75
ITA,EMP,TOT,PC_WKGPOP,2011,56.8
ITA,EMP,TOT,PC_WKGPOP,2012,56.625
ITA,EMP,TOT,PC_WKGPOP,2013,55.525
ITA,EMP,TOT,PC_WKGPOP,2014,55.7
ITA,EMP,TOT,PC_WKGPOP,2015,56.275
ITA,EMP,TOT,PC_WKGPOP,2016,57.25
JPN,EMP,TOT,PC_WKGPOP,2007,70.77606
JPN,EMP,TOT,PC_WKGPOP,2008,70.8734
JPN,EMP,TOT,PC_WKGPOP,2009,70.17559
JPN,EMP,TOT,PC_WKGPOP,2010,70.28754
JPN,EMP,TOT,PC_WKGPOP,2011,70.82615
JPN,EMP,TOT,PC_WKGPOP,2012,70.61858
JPN,EMP,TOT,PC_WKGPOP,2013,71.7585
JPN,EMP,TOT,PC_WKGPOP,2014,72.7607
JPN,EMP,TOT,PC_WKGPOP,2015,73.39278
JPN,EMP,TOT,PC_WKGPOP,2016,74.44646
KOR,EMP,TOT,PC_WKGPOP,2007,64.14521
KOR,EMP,TOT,PC_WKGPOP,2008,63.9557
KOR,EMP,TOT,PC_WKGPOP,2009,63.0171
KOR,EMP,TOT,PC_WKGPOP,2010,63.38788
KOR,EMP,TOT,PC_WKGPOP,2011,63.91484
KOR,EMP,TOT,PC_WKGPOP,2012,64.34369
KOR,EMP,TOT,PC_WKGPOP,2013,64.62727
KOR,EMP,TOT,PC_WKGPOP,2014,65.56622
KOR,EMP,TOT,PC_WKGPOP,2015,65.90981
KOR,EMP,TOT,PC_WKGPOP,2016,66.07566
LUX,EMP,TOT,PC_WKGPOP,2007,64.15
LUX,EMP,TOT,PC_WKGPOP,2008,63.425
LUX,EMP,TOT,PC_WKGPOP,2009,65.2
LUX,EMP,TOT,PC_WKGPOP,2010,65.2
LUX,EMP,TOT,PC_WKGPOP,2011,64.625
LUX,EMP,TOT,PC_WKGPOP,2012,65.85
LUX,EMP,TOT,PC_WKGPOP,2013,65.725
LUX,EMP,TOT,PC_WKGPOP,2014,66.625
LUX,EMP,TOT,PC_WKGPOP,2015,66.15
LUX,EMP,TOT,PC_WKGPOP,2016,65.575
MEX,EMP,TOT,PC_WKGPOP,2007,61.00108
MEX,EMP,TOT,PC_WKGPOP,2008,60.66586
MEX,EMP,TOT,PC_WKGPOP,2009,59.784
MEX,EMP,TOT,PC_WKGPOP,2010,59.66136
MEX,EMP,TOT,PC_WKGPOP,2011,60.02428
MEX,EMP,TOT,PC_WKGPOP,2012,60.90891
MEX,EMP,TOT,PC_WKGPOP,2013,60.8422
MEX,EMP,TOT,PC_WKGPOP,2014,60.40805
MEX,EMP,TOT,PC_WKGPOP,2015,60.74515
MEX,EMP,TOT,PC_WKGPOP,2016,61.04717
NLD,EMP,TOT,PC_WKGPOP,2007,75.975
NLD,EMP,TOT,PC_WKGPOP,2008,77.175
NLD,EMP,TOT,PC_WKGPOP,2009,76.975
NLD,EMP,TOT,PC_WKGPOP,2010,74.675
NLD,EMP,TOT,PC_WKGPOP,2011,74.175
NLD,EMP,TOT,PC_WKGPOP,2012,74.35
NLD,EMP,TOT,PC_WKGPOP,2013,73.575
NLD,EMP,TOT,PC_WKGPOP,2014,73.125
NLD,EMP,TOT,PC_WKGPOP,2015,74.15
NLD,EMP,TOT,PC_WKGPOP,2016,74.825
NZL,EMP,TOT,PC_WKGPOP,2007,75.13127
NZL,EMP,TOT,PC_WKGPOP,2008,74.59267
NZL,EMP,TOT,PC_WKGPOP,2009,72.80039
NZL,EMP,TOT,PC_WKGPOP,2010,72.21104
NZL,EMP,TOT,PC_WKGPOP,2011,72.52215
NZL,EMP,TOT,PC_WKGPOP,2012,71.97592
NZL,EMP,TOT,PC_WKGPOP,2013,72.84322
NZL,EMP,TOT,PC_WKGPOP,2014,74.23936
NZL,EMP,TOT,PC_WKGPOP,2015,74.28225
NZL,EMP,TOT,PC_WKGPOP,2016,75.57175
NOR,EMP,TOT,PC_WKGPOP,2007,76.825
NOR,EMP,TOT,PC_WKGPOP,2008,77.95
NOR,EMP,TOT,PC_WKGPOP,2009,76.425
NOR,EMP,TOT,PC_WKGPOP,2010,75.3
NOR,EMP,TOT,PC_WKGPOP,2011,75.3
NOR,EMP,TOT,PC_WKGPOP,2012,75.75
NOR,EMP,TOT,PC_WKGPOP,2013,75.425
NOR,EMP,TOT,PC_WKGPOP,2014,75.225
NOR,EMP,TOT,PC_WKGPOP,2015,74.8
NOR,EMP,TOT,PC_WKGPOP,2016,74.3
POL,EMP,TOT,PC_WKGPOP,2007,57.025
POL,EMP,TOT,PC_WKGPOP,2008,59.225
POL,EMP,TOT,PC_WKGPOP,2009,59.375
POL,EMP,TOT,PC_WKGPOP,2010,58.95
POL,EMP,TOT,PC_WKGPOP,2011,59.3
POL,EMP,TOT,PC_WKGPOP,2012,59.675
POL,EMP,TOT,PC_WKGPOP,2013,60
POL,EMP,TOT,PC_WKGPOP,2014,61.675
POL,EMP,TOT,PC_WKGPOP,2015,62.925
POL,EMP,TOT,PC_WKGPOP,2016,64.5
PRT,EMP,TOT,PC_WKGPOP,2007,67.6
PRT,EMP,TOT,PC_WKGPOP,2008,68.025
PRT,EMP,TOT,PC_WKGPOP,2009,66.075
PRT,EMP,TOT,PC_WKGPOP,2010,65.275
PRT,EMP,TOT,PC_WKGPOP,2011,63.825
PRT,EMP,TOT,PC_WKGPOP,2012,61.425
PRT,EMP,TOT,PC_WKGPOP,2013,60.625
PRT,EMP,TOT,PC_WKGPOP,2014,62.625
PRT,EMP,TOT,PC_WKGPOP,2015,63.925
PRT,EMP,TOT,PC_WKGPOP,2016,65.25
SVK,EMP,TOT,PC_WKGPOP,2007,60.7
SVK,EMP,TOT,PC_WKGPOP,2008,62.25
SVK,EMP,TOT,PC_WKGPOP,2009,60.175
SVK,EMP,TOT,PC_WKGPOP,2010,58.775
SVK,EMP,TOT,PC_WKGPOP,2011,59.325
SVK,EMP,TOT,PC_WKGPOP,2012,59.725
SVK,EMP,TOT,PC_WKGPOP,2013,59.85
SVK,EMP,TOT,PC_WKGPOP,2014,60.975
SVK,EMP,TOT,PC_WKGPOP,2015,62.725
SVK,EMP,TOT,PC_WKGPOP,2016,64.85
ESP,EMP,TOT,PC_WKGPOP,2007,65.8
ESP,EMP,TOT,PC_WKGPOP,2008,64.475
ESP,EMP,TOT,PC_WKGPOP,2009,59.95
ESP,EMP,TOT,PC_WKGPOP,2010,58.85
ESP,EMP,TOT,PC_WKGPOP,2011,58.025
ESP,EMP,TOT,PC_WKGPOP,2012,55.75
ESP,EMP,TOT,PC_WKGPOP,2013,54.825
ESP,EMP,TOT,PC_WKGPOP,2014,56
ESP,EMP,TOT,PC_WKGPOP,2015,57.8
ESP,EMP,TOT,PC_WKGPOP,2016,59.55
SWE,EMP,TOT,PC_WKGPOP,2007,74.175
SWE,EMP,TOT,PC_WKGPOP,2008,74.325
SWE,EMP,TOT,PC_WKGPOP,2009,72.2
SWE,EMP,TOT,PC_WKGPOP,2010,72.15
SWE,EMP,TOT,PC_WKGPOP,2011,73.575
SWE,EMP,TOT,PC_WKGPOP,2012,73.775
SWE,EMP,TOT,PC_WKGPOP,2013,74.4
SWE,EMP,TOT,PC_WKGPOP,2014,74.85
SWE,EMP,TOT,PC_WKGPOP,2015,75.525
SWE,EMP,TOT,PC_WKGPOP,2016,76.2
CHE,EMP,TOT,PC_WKGPOP,2007,78.6
CHE,EMP,TOT,PC_WKGPOP,2008,79.5
CHE,EMP,TOT,PC_WKGPOP,2009,79
CHE,EMP,TOT,PC_WKGPOP,2010,77.325
CHE,EMP,TOT,PC_WKGPOP,2011,78.35
CHE,EMP,TOT,PC_WKGPOP,2012,78.475
CHE,EMP,TOT,PC_WKGPOP,2013,78.4
CHE,EMP,TOT,PC_WKGPOP,2014,78.75
CHE,EMP,TOT,PC_WKGPOP,2015,79.2
CHE,EMP,TOT,PC_WKGPOP,2016,79.6
TUR,EMP,TOT,PC_WKGPOP,2007,44.65
TUR,EMP,TOT,PC_WKGPOP,2008,44.85
TUR,EMP,TOT,PC_WKGPOP,2009,44.225
TUR,EMP,TOT,PC_WKGPOP,2010,46.275
TUR,EMP,TOT,PC_WKGPOP,2011,48.4
TUR,EMP,TOT,PC_WKGPOP,2012,48.9
TUR,EMP,TOT,PC_WKGPOP,2013,49.525
TUR,EMP,TOT,PC_WKGPOP,2014,49.525
TUR,EMP,TOT,PC_WKGPOP,2015,50.15
TUR,EMP,TOT,PC_WKGPOP,2016,50.65
GBR,EMP,TOT,PC_WKGPOP,2007,71.45
GBR,EMP,TOT,PC_WKGPOP,2008,71.5
GBR,EMP,TOT,PC_WKGPOP,2009,69.875
GBR,EMP,TOT,PC_WKGPOP,2010,69.375
GBR,EMP,TOT,PC_WKGPOP,2011,69.3
GBR,EMP,TOT,PC_WKGPOP,2012,69.95
GBR,EMP,TOT,PC_WKGPOP,2013,70.525
GBR,EMP,TOT,PC_WKGPOP,2014,71.9
GBR,EMP,TOT,PC_WKGPOP,2015,72.725
GBR,EMP,TOT,PC_WKGPOP,2016,73.5
USA,EMP,TOT,PC_WKGPOP,2007,71.78132
USA,EMP,TOT,PC_WKGPOP,2008,70.88825
USA,EMP,TOT,PC_WKGPOP,2009,67.62595
USA,EMP,TOT,PC_WKGPOP,2010,66.68977
USA,EMP,TOT,PC_WKGPOP,2011,66.64754
USA,EMP,TOT,PC_WKGPOP,2012,67.13661
USA,EMP,TOT,PC_WKGPOP,2013,67.35994
USA,EMP,TOT,PC_WKGPOP,2014,68.14875
USA,EMP,TOT,PC_WKGPOP,2015,68.70962
USA,EMP,TOT,PC_WKGPOP,2016,69.35136
CHL,EMP,TOT,PC_WKGPOP,2007,56.3303
CHL,EMP,TOT,PC_WKGPOP,2008,57.2645
CHL,EMP,TOT,PC_WKGPOP,2009,56.06453
CHL,EMP,TOT,PC_WKGPOP,2010,59.32086
CHL,EMP,TOT,PC_WKGPOP,2011,61.30072
CHL,EMP,TOT,PC_WKGPOP,2012,61.83823
CHL,EMP,TOT,PC_WKGPOP,2013,62.32574
CHL,EMP,TOT,PC_WKGPOP,2014,62.21513
CHL,EMP,TOT,PC_WKGPOP,2015,62.44113
CHL,EMP,TOT,PC_WKGPOP,2016,62.23901
EST,EMP,TOT,PC_WKGPOP,2007,69.725
EST,EMP,TOT,PC_WKGPOP,2008,70.075
EST,EMP,TOT,PC_WKGPOP,2009,63.775
EST,EMP,TOT,PC_WKGPOP,2010,61.25
EST,EMP,TOT,PC_WKGPOP,2011,65.3
EST,EMP,TOT,PC_WKGPOP,2012,67.15
EST,EMP,TOT,PC_WKGPOP,2013,68.475
EST,EMP,TOT,PC_WKGPOP,2014,69.575
EST,EMP,TOT,PC_WKGPOP,2015,71.875
EST,EMP,TOT,PC_WKGPOP,2016,72.1
ISR,EMP,TOT,PC_WKGPOP,2007,58.94432
ISR,EMP,TOT,PC_WKGPOP,2008,59.82737
ISR,EMP,TOT,PC_WKGPOP,2009,59.21324
ISR,EMP,TOT,PC_WKGPOP,2010,60.1636
ISR,EMP,TOT,PC_WKGPOP,2011,60.87873
ISR,EMP,TOT,PC_WKGPOP,2012,66.5
ISR,EMP,TOT,PC_WKGPOP,2013,67.05833
ISR,EMP,TOT,PC_WKGPOP,2014,67.86667
ISR,EMP,TOT,PC_WKGPOP,2015,68.31667
ISR,EMP,TOT,PC_WKGPOP,2016,68.575
SVN,EMP,TOT,PC_WKGPOP,2007,67.75
SVN,EMP,TOT,PC_WKGPOP,2008,68.575
SVN,EMP,TOT,PC_WKGPOP,2009,67.525
SVN,EMP,TOT,PC_WKGPOP,2010,66.2
SVN,EMP,TOT,PC_WKGPOP,2011,64.4
SVN,EMP,TOT,PC_WKGPOP,2012,64.075
SVN,EMP,TOT,PC_WKGPOP,2013,63.275
SVN,EMP,TOT,PC_WKGPOP,2014,63.9
SVN,EMP,TOT,PC_WKGPOP,2015,65.225
SVN,EMP,TOT,PC_WKGPOP,2016,65.85
ZAF,EMP,TOT,PC_WKGPOP,2007,44.42795
ZAF,EMP,TOT,PC_WKGPOP,2008,45.91456
ZAF,EMP,TOT,PC_WKGPOP,2009,43.86818
ZAF,EMP,TOT,PC_WKGPOP,2010,41.83601
ZAF,EMP,TOT,PC_WKGPOP,2011,41.91941
ZAF,EMP,TOT,PC_WKGPOP,2012,42.2082
ZAF,EMP,TOT,PC_WKGPOP,2013,42.72718
ZAF,EMP,TOT,PC_WKGPOP,2014,42.77369
ZAF,EMP,TOT,PC_WKGPOP,2015,43.68032
ZAF,EMP,TOT,PC_WKGPOP,2016,43.03369
COL,EMP,TOT,PC_WKGPOP,2007,60.19333
COL,EMP,TOT,PC_WKGPOP,2008,60.51083
COL,EMP,TOT,PC_WKGPOP,2009,62.34583
COL,EMP,TOT,PC_WKGPOP,2010,63.6525
COL,EMP,TOT,PC_WKGPOP,2011,65.08667
COL,EMP,TOT,PC_WKGPOP,2012,66.28333
COL,EMP,TOT,PC_WKGPOP,2013,66.53833
COL,EMP,TOT,PC_WKGPOP,2014,67.055
COL,EMP,TOT,PC_WKGPOP,2015,67.62417
COL,EMP,TOT,PC_WKGPOP,2016,67.1775
LVA,EMP,TOT,PC_WKGPOP,2007,68.125
LVA,EMP,TOT,PC_WKGPOP,2008,68.225
LVA,EMP,TOT,PC_WKGPOP,2009,60.35
LVA,EMP,TOT,PC_WKGPOP,2010,58.5
LVA,EMP,TOT,PC_WKGPOP,2011,60.825
LVA,EMP,TOT,PC_WKGPOP,2012,62.975
LVA,EMP,TOT,PC_WKGPOP,2013,65.05
LVA,EMP,TOT,PC_WKGPOP,2014,66.3
LVA,EMP,TOT,PC_WKGPOP,2015,68.1
LVA,EMP,TOT,PC_WKGPOP,2016,68.725
LTU,EMP,TOT,PC_WKGPOP,2007,65
LTU,EMP,TOT,PC_WKGPOP,2008,64.4
LTU,EMP,TOT,PC_WKGPOP,2009,59.875
LTU,EMP,TOT,PC_WKGPOP,2010,57.55
LTU,EMP,TOT,PC_WKGPOP,2011,60.2
LTU,EMP,TOT,PC_WKGPOP,2012,62.025
LTU,EMP,TOT,PC_WKGPOP,2013,63.725
LTU,EMP,TOT,PC_WKGPOP,2014,65.65
LTU,EMP,TOT,PC_WKGPOP,2015,67.25
LTU,EMP,TOT,PC_WKGPOP,2016,69.375
